Invoice Date,Client,Service,Amount,Payment Date,Status
9/12/2024,ABC Corp,Web Scraping,450,9/15/2024,Paid
9/20/2024,XYZ Ltd,RPA Audit,600,9/25/2024,Paid
10/1/2024,Freelance Co,Data Cleanup,300,,Unpaid
10/5/2024,Tech Solutions,Data Analysis,500,10/10/2024,Paid
10/10/2024,Creative Agency,Web Development,700,10/15/2024,Paid
10/15/2024,Marketing Inc,SEO Optimization,400,,Unpaid
11/1/2024,Design Studio,Graphic Design,350,11/5/2024,Paid
11/10/2024,ABC Corp,Web Scraping,450,11/15/2024,Paid
11/20/2024,XYZ Ltd,RPA Audit,600,,Unpaid
12/1/2024,Freelance Co,Data Cleanup,300,12/5/2024,Paid
12/10/2024,Tech Solutions,Data Analysis,500,,Unpaid
12/15/2024,Creative Agency,Web Development,700,12/20/2024,Paid
